tracker_file_name_current,question_current,question_match,status_current,id,matched_id,matched_tracker_file_name
Data Set #2-24 report - Frank Stimson.csv,How many employees received bonus personal days in 2016?,How many employees received bonus personal days in 2018?,REJECTED,Data Set #2-24 report - Frank Stimson.csv-Q11,Data Set #3-52 report - Frank Stimson.csv-Q6,Data Set #3-52 report - Frank Stimson.csv
Data Set #2-24 report - Frank Stimson.csv,"What is the Federal income tax rate for 2019 from the federal W-4 form for a head of household with income under $60,000?","What is the Federal income tax rate for 2020 from the federal W-4 form for a head of household with income under $60,000?",REJECTED,Data Set #2-24 report - Frank Stimson.csv-Q2,Data Set #4-01 report - Frank Stimson.csv-Q1,Data Set #4-01 report - Frank Stimson.csv
Data Set #2-24 report - Frank Stimson.csv,What were the total wages for carryover personal days in 2016?,What were the total wages for carryover personal days in 2018?,REJECTED,Data Set #2-24 report - Frank Stimson.csv-Q4,Data Set #3-52 report - Frank Stimson.csv-Q2,Data Set #3-14 report - Frank Stimson.csv
Data Set #2-24 report - Frank Stimson.csv,"Did any employee head of household earn more than $95,000 in 2019?","Did any employee head of household earn more than $95,000 in 2020?",REJECTED,Data Set #2-24 report - Frank Stimson.csv-Q5,Data Set #4-01 report - Frank Stimson.csv-Q3,Data Set #4-01 report - Frank Stimson.csv
Data Set #2-24 report - Frank Stimson.csv,What were the total hours for carryover personal days in 2016?,What were the total hours for carryover personal days in 2019?,REJECTED,Data Set #2-24 report - Frank Stimson.csv-Q6,Data Set #2-37 report - Frank Stimson.csv-Q6,Data Set #3-14 report - Frank Stimson.csv
Data Set #2-24 report - Frank Stimson.csv,How many employees have used all their personal days for 2016?,How many employees have used all their personal days for 2018?,REJECTED,Data Set #2-24 report - Frank Stimson.csv-Q7,Data Set #3-52 report - Frank Stimson.csv-Q4,Data Set #3-52 report - Frank Stimson.csv
Data Set #2-24 report - Frank Stimson.csv,How many employees have taken more than the allocated number of personal days in 2016?,How many employees have taken more than the allocated number of personal days in 2020?,REJECTED,Data Set #2-24 report - Frank Stimson.csv-Q9,Data Set #4-14 report - Frank Stimson.csv-Q5,Data Set #4-14 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,How many employees have a 401k deduction for 2019?,How many employees have a 401k deduction for 2016?,REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q1,Data Set #2-15 report - Frank Stimson.csv-Q1,Data Set #2-15 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,"Was there a different Social Security  tax rate for 2016 for married filing jointly with income above $150,000?","Was there a different Social Security  tax rate for 2017 for married filing jointly with income above $150,000?",REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q10,Data Set #3-37 report - Frank Stimson.csv-Q6,Data Set #3-37 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,How many employees will reach the max dollars for their 401k in the next 1-4 weeks in 2019?,How many employees will reach the max dollars for their 401k in the next 1-4 weeks in 2016?,REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q11,Data Set #2-15 report - Frank Stimson.csv-Q15,Data Set #2-15 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing separately with income under $80,000?","What is the Social Security  tax rate for 2017 from the federal W-4 form for married filing separately with income under $80,000?",REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q12,Data Set #3-37 report - Frank Stimson.csv-Q7,Data Set #2-11 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,How many employees will reach the max dollars for their 401k in the next 5-10 weeks in 2019?,How many employees will reach the max dollars for their 401k in the next 5-10 weeks in 2017?,REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q13,Data Set #2-34 report - Frank Stimson.csv-Q8,Data Set #2-34 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing separately with income between $80,000 - $149,000?","What is the Social Security  tax rate for 2017 from the federal W-4 form for married filing separately with income between $80,000 - $149,000?",REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q14,Data Set #3-37 report - Frank Stimson.csv-Q8,Data Set #2-11 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing separately with income over $150,000?","What is the Social Security  tax rate for 2018 from the federal W-4 form for married filing separately with income over $150,000?",REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q15,Data Set #3-56 report - Frank Stimson.csv-Q9,Data Set #3-18 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,"What is the Social Security  tax rate for 2016 from the federal W-4 form for a head of household with income under $60,000?","What is the Social Security  tax rate for 2018 from the federal W-4 form for a head of household with income under $60,000?",REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q2,Data Set #3-56 report - Frank Stimson.csv-Q1,Data Set #3-18 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,Has any employee reached the max amount one can contribute for the year 2019 in their 401k?,Has any employee reached the max amount one can contribute for the year 2017 in their 401k?,REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q3,Data Set #2-34 report - Frank Stimson.csv-Q2,Data Set #2-34 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,"What is the Social Security  tax rate for 2016 from the federal W-4 form for a head of household with income over $60,000?","What is the Social Security  tax rate for 2017 from the federal W-4 form for a head of household with income under $60,000?",REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q4,Data Set #3-37 report - Frank Stimson.csv-Q1,Data Set #2-11 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,How many years does an employee need to work to have the company match 401k deduction percentage for 2019?,How many years does an employee need to work to have the company match 401k deduction percentage for 2016?,REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q5,Data Set #2-15 report - Frank Stimson.csv-Q6,Data Set #2-15 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,Was any employee exempt from Social Security tax in 2016?,Was any employee exempt from Social Security tax in 2017?,REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q6,Data Set #3-37 report - Frank Stimson.csv-Q3,Data Set #3-37 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing jointly with income under $80,000?","What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing jointly with income under $80,000?",REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q7,Data Set #3-18 report - Frank Stimson.csv -Q7,Data Set #3-18 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing jointly with income over $80,000?","What is the Federal income tax rate for 2016 from the federal W-4 form for married filing jointly with income over $80,000?",REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q8,Data Set #2-11 report - Frank Stimson.csv-Q7,Data Set #2-11 report - Frank Stimson.csv
Data Set #2-28 report - Frank Stimson.csv,How many employees will not reach the max dollars for their 401k in 2019?,How many employees will not reach the max dollars for their 401k in 2016?,REJECTED,Data Set #2-28 report - Frank Stimson.csv-Q9,Data Set #2-15 report - Frank Stimson.csv-Q13,Data Set #2-15 report - Frank Stimson.csv
Data Set #2-41 report - Frank Stimson.csv,"What is the Social Secuurity  tax rate for 2019 from the federal W-4 form for married filing jointly with income over $80,000?","What is the Social Security  tax rate for 2017 from the federal W-4 form for married filing jointly with income under $80,000?",REJECTED,Data Set #2-41 report - Frank Stimson.csv-Q11,Data Set #3-37 report - Frank Stimson.csv-Q4,Data Set #3-18 report - Frank Stimson.csv
Data Set #2-41 report - Frank Stimson.csv,"Was there a different Social Secuurity  tax rate for 2019 for married filing jointly with income above $150,000?","Was there a different Social Security  tax rate for 2016 for married filing jointly with income above $150,000?",REJECTED,Data Set #2-41 report - Frank Stimson.csv-Q12,Data Set #3-18 report - Frank Stimson.csv -Q3,Data Set #3-18 report - Frank Stimson.csv
Data Set #2-41 report - Frank Stimson.csv,What was the total commission paid for the current period in 2017?,What was the total commission paid for the current period in 2016?,REJECTED,Data Set #2-41 report - Frank Stimson.csv-Q13,Data Set #2-22 report - Frank Stimson.csv-Q14,Data Set #2-22 report - Frank Stimson.csv
Data Set #2-41 report - Frank Stimson.csv,"What is the Social Secuurity  tax rate for 2019 from the federal W-4 form for married filing separately with income under $80,000?","What is the Social Security  tax rate for 2018 from the federal W-4 form for married filing separately with income under $80,000?",REJECTED,Data Set #2-41 report - Frank Stimson.csv-Q14,Data Set #3-56 report - Frank Stimson.csv-Q7,Data Set #3-18 report - Frank Stimson.csv
Data Set #2-41 report - Frank Stimson.csv,What was the total commission paid for the year 2017?,What was the total commission paid for the year 2016?,REJECTED,Data Set #2-41 report - Frank Stimson.csv-Q15,Data Set #3-12 report - Frank Stimson.csv -Q10,Data Set #3-12 report - Frank Stimson.csv
Data Set #2-41 report - Frank Stimson.csv,"What is the Social Secuurity  tax rate for 2019 from the federal W-4 form for a head of household with income under $60,000?","What is the Social Security  tax rate for 2018 from the federal W-4 form for a head of household with income under $60,000?",REJECTED,Data Set #2-41 report - Frank Stimson.csv-Q2,Data Set #3-56 report - Frank Stimson.csv-Q1,Data Set #3-18 report - Frank Stimson.csv
Data Set #2-41 report - Frank Stimson.csv,"What is the Social Secuurity  tax rate for 2019 from the federal W-4 form for a head of household with income over $60,000?","What is the Social Security  tax rate for 2018 from the federal W-4 form for a head of household with income under $60,000?",REJECTED,Data Set #2-41 report - Frank Stimson.csv-Q4,Data Set #3-56 report - Frank Stimson.csv-Q1,Data Set #3-18 report - Frank Stimson.csv
Data Set #2-41 report - Frank Stimson.csv,"What is the Social Secuurity  tax rate for 2019 from the federal W-4 form for married filing jointly with income under $80,000?","What is the Social Security  tax rate for 2018 from the federal W-4 form for married filing jointly with income under $80,000?",REJECTED,Data Set #2-41 report - Frank Stimson.csv-Q9,Data Set #3-56 report - Frank Stimson.csv-Q4,Data Set #3-18 report - Frank Stimson.csv
Data Set #2-42 report - Frank Stimson.csv,"What is the Medicare  tax rate for 2019 from the federal W-4 form for married filing jointly with income over $80,000?","What is the Medicare  tax rate for 2016 from the federal W-4 form for married filing jointly with income over $80,000?",REJECTED,Data Set #2-42 report - Frank Stimson.csv-Q11,Data Set #2-29 report - Frank Stimson.csv-Q11,Data Set #2-29 report - Frank Stimson.csv
Data Set #2-42 report - Frank Stimson.csv,"Was there a different Medicare  tax rate for 2019 for married filing jointly with income above $150,000?","Was there a different Medicare  tax rate for 2016 for married filing jointly with income about $150,000?",REJECTED,Data Set #2-42 report - Frank Stimson.csv-Q13,Data Set #2-29 report - Frank Stimson.csv-Q13,Data Set #2-29 report - Frank Stimson.csv
Data Set #2-42 report - Frank Stimson.csv,"What is the Medicare  tax rate for 2019 from the federal W-4 form for married filing separately with income under $80,000?","What is the Medicare  tax rate for 2016 from the federal W-4 form for married filing separately with income under $80,000?",REJECTED,Data Set #2-42 report - Frank Stimson.csv-Q15,Data Set #2-29 report - Frank Stimson.csv-Q15,Data Set #2-29 report - Frank Stimson.csv
Data Set #2-42 report - Frank Stimson.csv,"What is the Medicare  tax rate for 2019 from the federal W-4 form for a head of household with income under $60,000?","What is the Medicare  tax rate for 2016 from the federal W-4 form for a head of household with income under $60,000?",REJECTED,Data Set #2-42 report - Frank Stimson.csv-Q2,Data Set #2-29 report - Frank Stimson.csv-Q2,Data Set #2-29 report - Frank Stimson.csv
Data Set #2-42 report - Frank Stimson.csv,"What is the Medicare  tax rate for 2019 from the federal W-4 form for a head of household with income over $60,000?","What is the Medicare  tax rate for 2016 from the federal W-4 form for a head of household with income over $60,000?",REJECTED,Data Set #2-42 report - Frank Stimson.csv-Q3,Data Set #2-29 report - Frank Stimson.csv-Q4,Data Set #2-29 report - Frank Stimson.csv
Data Set #2-42 report - Frank Stimson.csv,What were the total wages for carryover vacation days in 2017?,What were the total wages for carryover vacation days in 2016?,REJECTED,Data Set #2-42 report - Frank Stimson.csv-Q4,Data Set #3-13 report - Frank Stimson.csv -Q14,Data Set #3-13 report - Frank Stimson.csv
Data Set #2-42 report - Frank Stimson.csv,What were the total hours for carryover vacation days in 2017?,What were the total hours for carryover vacation days in 2016?,REJECTED,Data Set #2-42 report - Frank Stimson.csv-Q5,Data Set #3-13 report - Frank Stimson.csv -Q13,Data Set #3-13 report - Frank Stimson.csv
Data Set #2-42 report - Frank Stimson.csv,Was any employee exempt from Medicare tax in 2019?,Was any employee exempt from Medicare tax in 2016?,REJECTED,Data Set #2-42 report - Frank Stimson.csv-Q7,Data Set #2-29 report - Frank Stimson.csv-Q7,Data Set #2-29 report - Frank Stimson.csv
Data Set #2-42 report - Frank Stimson.csv,"What is the Medicare  tax rate for 2019 from the federal W-4 form for married filing jointly with income under $80,000?","What is the Medicare  tax rate for 2016 from the federal W-4 form for married filing jointly with income under $80,000?",REJECTED,Data Set #2-42 report - Frank Stimson.csv-Q9,Data Set #2-29 report - Frank Stimson.csv-Q9,Data Set #2-29 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,Which employee will have the lowest federal income tax rate for 2016?,Which employee will have the lowest federal income tax rate for 2020?,REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q6,Data Set #4-01 report - Frank Stimson.csv-Q15,Data Set #4-01 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for a head of household with income under $60,000?","What is the Federal income tax rate for 2017 from the federal W-4 form for a head of household with income under $60,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q1,Data Set #2-30 report - Frank Stimson.csv-Q2,Data Set #2-30 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for married filing jointly with income under $80,000?","What is the Federal income tax rate for 2017 from the federal W-4 form for married filing jointly with income under $80,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q2,Data Set #2-30 report - Frank Stimson.csv-Q10,Data Set #2-30 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for married filing separately with income over $150,000?","What is the Federal income tax rate for 2020 from the federal W-4 form for married filing separately with income over $150,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q3,Data Set #4-01 report - Frank Stimson.csv-Q10,Data Set #4-01 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for singles with income under $80,000?","What is the Federal income tax rate for 2017 from the federal W-4 form for singles with income under $80,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q4,Data Set #3-20 report - Frank Stimson.csv -Q13,Data Set #3-20 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for singles with income between $80,000 - $149,000?","What is the Federal income tax rate for 2020 from the federal W-4 form for singles with income over $150,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q5,Data Set #4-01 report - Frank Stimson.csv-Q13,Data Set #4-01 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for a head of household with income over $60,000?","What is the Federal income tax rate for 2017 from the federal W-4 form for a head of household with income over $60,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q7,Data Set #2-30 report - Frank Stimson.csv-Q4,Data Set #2-30 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"Did any employee head of household earn more than $95,000 in 2016?","Did any CT employee head of household earn more than $95,000 in 2019?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q8,Data Set #2-27 report - Frank Stimson.csv-Q5,Data Set #2-27 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,Was any employee exempt from federal taxes in 2016?,Was any employee exempt from federal taxes in 2017?,REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q9,Data Set #2-30 report - Frank Stimson.csv-Q7,Data Set #2-30 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for married filing jointly with income over $80,000?","What is the Federal income tax rate for 2017 from the federal W-4 form for married filing jointly with income over $80,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q10,Data Set #2-30 report - Frank Stimson.csv-Q12,Data Set #2-30 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"Was there a different Federal income tax rate for 2016 for married filing jointly with income about $150,000?","Was there a different CT State income tax rate for 2019 for married filing jointly with income above $150,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q11,Data Set #2-27 report - Frank Stimson.csv-Q14,Data Set #2-27 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for married filing separately with income under $80,000?","What is the Federal income tax rate for 2020 from the federal W-4 form for married filing separately with income under $80,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q12,Data Set #4-01 report - Frank Stimson.csv-Q8,Data Set #4-01 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for married filing separately with income between $80,000 - $149,000?","What is the Federal income tax rate for 2020 from the federal W-4 form for married filing separately with income between $80,000 - $149,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q13,Data Set #4-01 report - Frank Stimson.csv-Q9,Data Set #4-01 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,"What is the Federal income tax rate for 2016 from the federal W-4 form for singles with income over $150,000?","What is the Federal income tax rate for 2018 from the federal W-4 form for married filing separately with income over $150,000?",REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q14,Data Set #3-39 report - Frank Stimson.csv-Q10,Data Set #3-39 report - Frank Stimson.csv
Data Set #3-1 report - Frank Stimson.csv,Which employee will have the highest federal income tax rate for 2016?,Which employee will have the highest federal income tax rate for 2020?,REJECTED,Data Set #3-1 report - Frank Stimson.csv-Q15,Data Set #4-01 report - Frank Stimson.csv-Q14,Data Set #4-01 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"How many employees are ""Head of Household"" for 2016?","How many employees are ""Head of Household"" for 2017?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q1,Data Set #2-40 report - Frank Stimson.csv-Q3,Data Set #2-40 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for married filing separately with income under $80,000 in 2016?","What is the total taxes withheld % for married filing separately with income under $80,000 in 2017?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q10,Data Set #3-30 report - Frank Stimson.csv -Q10,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for singles with income between $80,000 - $149,000 in 2016?","What is the Federal income tax rate for 2020 from the federal W-4 form for singles with income between $80,000 - $149,000?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q11,Data Set #4-01 report - Frank Stimson.csv-Q12,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for singles with income over $150,000 in 2016?","What is the Federal income tax rate for 2020 from the federal W-4 form for singles with income over $150,000?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q12,Data Set #4-01 report - Frank Stimson.csv-Q13,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for singles with income under $80,000 in 2016?","What is the Federal income tax rate for 2020 from the federal W-4 form for singles with income under $80,000?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q13,Data Set #4-01 report - Frank Stimson.csv-Q11,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,Which employee will have the highest tax % withheld rate for 2016?,Which employee will have the highest tax % withheld rate for 2017?,REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q14,Data Set #3-30 report - Frank Stimson.csv -Q14,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,Which employee will have the lowest tax % withheld rate for 2016?,Which employee will have the lowest tax % withheld rate for 2017?,REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q15,Data Set #3-30 report - Frank Stimson.csv -Q15,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,How many employees are there for each type from the W-4 form for 2016?,How many employees are there for each type from the W-4 form for 2019?,REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q2,Data Set #2-34 report - Frank Stimson.csv-Q5,Data Set #2-34 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for head of household with income over $60,000 in 2016?","What is the total taxes withheld % for head of household with income over $60,000 in 2017?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q3,Data Set #3-30 report - Frank Stimson.csv -Q3,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for head of household with income under $60,000 2016?","What is the total taxes withheld % for head of household with income under $60,000 in 2017?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q4,Data Set #3-30 report - Frank Stimson.csv -Q4,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for married filing jointly with income between $80,000 - $149,000 in 2016?","What is the total taxes withheld % for married filing jointly with income between $80,000 - $149,000 in 2017?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q5,Data Set #3-30 report - Frank Stimson.csv -Q5,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for married filing jointly with income over $150,000 2016?","Was there a different Federal income tax rate for 2017 for married filing jointly with income above $150,000?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q6,Data Set #2-30 report - Frank Stimson.csv-Q14,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for married filing jointly with income under $80,000 in 2016?","What is the Federal income tax rate for 2017 from the federal W-4 form for married filing jointly with income under $80,000?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q7,Data Set #2-30 report - Frank Stimson.csv-Q10,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for married filing separately with income between $80,000 - $149,000 in 2016?","What is the total taxes withheld % for married filing separately with income between $80,000 - $149,000 in 2017?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q8,Data Set #3-30 report - Frank Stimson.csv -Q8,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-11 report - Frank Stimson.csv,"What is the total taxes withheld % for married filing separately with income over $150,000 in 2016?","What is the total taxes withheld % for married filing separately with income over $150,000 in 2017?",REJECTED,Data Set #3-11 report - Frank Stimson.csv -Q9,Data Set #3-30 report - Frank Stimson.csv -Q9,Data Set #3-30 report - Frank Stimson.csv
Data Set #3-19report - Frank Stimson.csv,"Did any employee head of household earn more than $95,000 in 2016?","Did any employee head of household earn more than $95,000 in 2017?",REJECTED,Data Set #3-19report - Frank Stimson.csv -Q1,Data Set #2-30 report - Frank Stimson.csv-Q5,Data Set #2-30 report - Frank Stimson.csv
Data Set #3-19report - Frank Stimson.csv,"What is the Medicare  tax rate for 2016 from the federal W-4 form for married filing separately with income under $80,000?","What is the Federal income tax rate for 2016 from the federal W-4 form for married filing separately with income under $80,000?",REJECTED,Data Set #3-19report - Frank Stimson.csv -Q10,Data Set #2-11 report - Frank Stimson.csv-Q9,Data Set #2-11 report - Frank Stimson.csv
Data Set #3-19report - Frank Stimson.csv,"What is the Medicare  tax rate for 2016 from the federal W-4 form for singles with income between $80,000 - $149,000?","What is the Federal income tax rate for 2020 from the federal W-4 form for singles with income between $80,000 - $149,000?",REJECTED,Data Set #3-19report - Frank Stimson.csv -Q11,Data Set #4-01 report - Frank Stimson.csv-Q12,Data Set #4-01 report - Frank Stimson.csv
Data Set #3-19report - Frank Stimson.csv,"What is the Medicare  tax rate for 2016 from the federal W-4 form for singles with income over $150,000?","What is the Federal income tax rate for 2016 from the federal W-4 form for singles with income over $150,000?",REJECTED,Data Set #3-19report - Frank Stimson.csv -Q12,Data Set #2-11 report - Frank Stimson.csv-Q10,Data Set #2-11 report - Frank Stimson.csv
