STATUS_current,Tracker File Name_current,question #,issues,ID,QUESTIONS_current,image,
APPROVED,Data Set #11 report - Frank Stimson.csv,3,all good,Data Set #11 report - Frank Stimson.csv-Q3,What is the current inventory units for replenishment,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,4,all good,Data Set #11 report - Frank Stimson.csv-Q4,What is the current inventory units for close out,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,5,all good,Data Set #11 report - Frank Stimson.csv-Q5,What is the current inventory units for damage,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,6,all good,Data Set #11 report - Frank Stimson.csv-Q6,What is the current inventory GP $for stock,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,7,all good,Data Set #11 report - Frank Stimson.csv-Q7,What is the current inventory GP $for made to order,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,8,all good,Data Set #11 report - Frank Stimson.csv-Q8,What is the current inventory GP $for replenishment,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #11 report - Frank Stimson.csv,9,all good,Data Set #11 report - Frank Stimson.csv-Q9,What is the current inventory GP $for close out,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #11 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,1,all good,Data Set #12 report - Frank Stimson.csv-Q1,What is the current inventory cost $ for stock,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,10,all good,Data Set #12 report - Frank Stimson.csv-Q10,What is the current inventory GP %for damage,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,11,all good,Data Set #12 report - Frank Stimson.csv-Q11,What is the average ago of inventory for close out accessories,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,12,all good,Data Set #12 report - Frank Stimson.csv-Q12,What is the average ago of inventory for close out bags,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,13,all good,Data Set #12 report - Frank Stimson.csv-Q13,What is the average ago of inventory for made to order accessories,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,14,all good,Data Set #12 report - Frank Stimson.csv-Q14,What is the average ago of inventory for made to order bags,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,15,all good,Data Set #12 report - Frank Stimson.csv-Q15,what is the total inventory of close out inventory,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,2,all good,Data Set #12 report - Frank Stimson.csv-Q2,What is the current inventory cost $ for made to order,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,3,all good,Data Set #12 report - Frank Stimson.csv-Q3,What is the current inventory cost $ for replenishment,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,4,all good,Data Set #12 report - Frank Stimson.csv-Q4,What is the current inventory cost $ for close out,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,5,all good,Data Set #12 report - Frank Stimson.csv-Q5,What is the current inventory cost $ for damage,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,6,all good,Data Set #12 report - Frank Stimson.csv-Q6,What is the current inventory GP %for stock,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,7,all good,Data Set #12 report - Frank Stimson.csv-Q7,What is the current inventory GP %for made to order,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,8,all good,Data Set #12 report - Frank Stimson.csv-Q8,What is the current inventory GP %for replenishment,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #12 report - Frank Stimson.csv,9,all good,Data Set #12 report - Frank Stimson.csv-Q9,What is the current inventory GP %for close out,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #12 report .html,#N/A
APPROVED,Data Set #13 report,1,all good,Data Set #13 report-Q1,What is the current inventory sell price $ for stock,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,10,all good,Data Set #13 report-Q10,How much inventory units is on hand for Jewelry,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,11,all good,Data Set #13 report-Q11,How much inventory units is on hand for eyewear,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,12,all good,Data Set #13 report-Q12,How much inventory units is on hand for cold wear,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,13,all good,Data Set #13 report-Q13,how much inventory is in cold weather items,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,14,all good,Data Set #13 report-Q14,what is the average age of inventory on cold weather items,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,15,all good,Data Set #13 report-Q15,"what is the total unit, cost and sell price, GP $ and GP% for all of cold weather items",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,2,all good,Data Set #13 report-Q2,What is the current inventory sell price $ for made to order,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,3,all good,Data Set #13 report-Q3,What is the current inventory sell price $ for replenishment,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,4,all good,Data Set #13 report-Q4,What is the current inventory sell price $ for close out,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,5,all good,Data Set #13 report-Q5,What is the current inventory sell price $ for damage,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,6,all good,Data Set #13 report-Q6,How much is on order at the factory for ,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,7,all good,Data Set #13 report-Q7,How much inventory units is on hand for scarves,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,8,all good,Data Set #13 report-Q8,How much inventory units is on hand for belts,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #13 report,9,all good,Data Set #13 report-Q9,How much inventory units is on hand for hats,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #13 report.html,#N/A
APPROVED,Data Set #14 report,1,zz,Data Set #14 report-Q1,What will be the royalty fees for Perlina,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,10,zz,Data Set #14 report-Q10,What is the current inventory of bags that cost above $150,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,11,zz,Data Set #14 report-Q11,The bags that cost above $150 what is the inventory of closeouts,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,12,zz,Data Set #14 report-Q12,Which subclass has the most inventory on order at the factory,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,13,zz,Data Set #14 report-Q13,What is the total on order at the factory for NL,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,14,zz,Data Set #14 report-Q14,What is the total on order at the factory cost $,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,15,zz,Data Set #14 report-Q15,What will be the royalty fees for Circus,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,2,zz,Data Set #14 report-Q2,What will be the royalty fees for Latique,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,3,zz,Data Set #14 report-Q3,What will be the royalty fees for Sam Edelman,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,4,zz,Data Set #14 report-Q4,What will be the royalty fees for Pulm,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,5,zz,Data Set #14 report-Q5,What will be the royalty fees for Circus,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,6,zz,Data Set #14 report-Q6,What will be the royalty fees for NL,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,7,zz,Data Set #14 report-Q7,What will be the royalty fees for Collection B,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,8,zz,Data Set #14 report-Q8,What is the current inventory on closeout ,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #14 report,9,zz,Data Set #14 report-Q9,How many bags have a cost of $150,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #14 report.html,0
APPROVED,Data Set #15 report.csv,1,all good,Data Set #15 report.csv-Q1,What is on order at the factory at cost for made to order,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,10,all good,Data Set #15 report.csv-Q10,what is the current inventory average age for care,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,11,all good,Data Set #15 report.csv-Q11,what is the % of close out inventory or the total inventory for bath,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,12,all good,Data Set #15 report.csv-Q12,what is the % of close out inventory or the total inventory for body care,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,13,all good,Data Set #15 report.csv-Q13,what is the % of close out inventory or the total inventory for gift sets,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,14,all good,Data Set #15 report.csv-Q14,what is the % of close out inventory or the total inventory for care,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,15,all good,Data Set #15 report.csv-Q15,what are the sub types,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,2,all good,Data Set #15 report.csv-Q2,What is on order at the factory at cost for replenishment,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,3,all good,Data Set #15 report.csv-Q3,What is on order at the factory in units for made to order,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,4,all good,Data Set #15 report.csv-Q4,What is on order at the factory in units for replenishment,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,5,all good,Data Set #15 report.csv-Q5,What is on order at the factory at sell price for made to order,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,6,all good,Data Set #15 report.csv-Q6,What is on order at the factory at sell price for replenishment,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,7,all good,Data Set #15 report.csv-Q7,what is the current inventory average age for bath,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,8,all good,Data Set #15 report.csv-Q8,what is the current inventory average age for body care,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #15 report.csv,9,all good,Data Set #15 report.csv-Q9,what is the current inventory average age for gift sets,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #15 report.html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,1,all good,Data Set #16 report - Frank Stimson.csv-Q1,What did salesperson 10 sell to customer type Mass in 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,10,all good,Data Set #16 report - Frank Stimson.csv-Q10,What did salesperson 10 sell to customer type Discount 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,11,all good,Data Set #16 report - Frank Stimson.csv-Q11,What did salesperson 10 sell to customer type Independent in 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,12,all good,Data Set #16 report - Frank Stimson.csv-Q12,What did salesperson 10 sell to customer type Online in 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,13,all good,Data Set #16 report - Frank Stimson.csv-Q13,What did salesperson 10 sell to customer type Specialty in 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,14,all good,Data Set #16 report - Frank Stimson.csv-Q14,What did salesperson 10 sell to customer type Whse in 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,15,all good,Data Set #16 report - Frank Stimson.csv-Q15,What did salesperson 10 sell to all customer in 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,2,all good,Data Set #16 report - Frank Stimson.csv-Q2,What did salesperson 10 sell to customer type Dept in 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,3,all good,Data Set #16 report - Frank Stimson.csv-Q3,What did salesperson 10 sell to customer type Discount 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,4,all good,Data Set #16 report - Frank Stimson.csv-Q4,What did salesperson 10 sell to customer type Independent in 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,5,all good,Data Set #16 report - Frank Stimson.csv-Q5,What did salesperson 10 sell to customer type Online in 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,6,all good,Data Set #16 report - Frank Stimson.csv-Q6,What did salesperson 10 sell to customer type Specialty in 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,7,all good,Data Set #16 report - Frank Stimson.csv-Q7,What did salesperson 10 sell to customer type Whse in 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,8,all good,Data Set #16 report - Frank Stimson.csv-Q8,What did salesperson 10 sell to customer type Mass in 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #16 report - Frank Stimson.csv,9,all good,Data Set #16 report - Frank Stimson.csv-Q9,What did salesperson 10 sell to customer type Dept in 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #16 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,1,all good,Data Set #17 report - Frank Stimson.csv-Q1,"What order status  ""open-waiting po"" $ is for salesperson AB",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,10,all good,Data Set #17 report - Frank Stimson.csv-Q10,What is salesperson AB  commission % for customer type Discount,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,11,all good,Data Set #17 report - Frank Stimson.csv-Q11,What is salesperson AB commission % for customer type Independent,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,12,all good,Data Set #17 report - Frank Stimson.csv-Q12,What is salesperson AB commission % for customer type Specialty,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,13,all good,Data Set #17 report - Frank Stimson.csv-Q13,What is salesperson AB commission $ for customer type Specialty 3rd qtr. for 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,14,all good,Data Set #17 report - Frank Stimson.csv-Q14,What is salesperson AB commission $ for customer type Independent for 3rd qtr. 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,15,all good,Data Set #17 report - Frank Stimson.csv-Q15,What is salesperson AB commission $ for customer type Specialty for 3rd qtr. 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,2,all good,Data Set #17 report - Frank Stimson.csv-Q2,"What order status  ""open-waiting po"" $ is for salesperson AB 2023",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,3,all good,Data Set #17 report - Frank Stimson.csv-Q3,"What order status  ""open-waiting po"" $ is for salesperson AB 2024",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,4,all good,Data Set #17 report - Frank Stimson.csv-Q4,"What order status  ""open"" $ is for salesperson AB",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,5,all good,Data Set #17 report - Frank Stimson.csv-Q5,"What order status  ""open"" $ is for salesperson AB 2023",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,6,all good,Data Set #17 report - Frank Stimson.csv-Q6,"What order status  ""open"" $ is for salesperson AB 2024",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,7,all good,Data Set #17 report - Frank Stimson.csv-Q7,"What order status  ""shipped"" $ is for salesperson AB",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,8,all good,Data Set #17 report - Frank Stimson.csv-Q8,"What order status  ""shipped"" $ is for salesperson AB 2023",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #17 report - Frank Stimson.csv,9,all good,Data Set #17 report - Frank Stimson.csv-Q9,"What order status  ""shipped"" $ is for salesperson AB 2024",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #17 report .html,#N/A
APPROVED,Data Set #18 report,1,all good,Data Set #18 report-Q1,What is the commission $ for salesperson AM for account type Dept for 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,10,all good,Data Set #18 report-Q10,What is the commission $ for salesperson AM for account type Specialty for 2023,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,11,all good,Data Set #18 report-Q11,What is the commission $ for salesperson AM for account type Dept for 2024,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,12,all good,Data Set #18 report-Q12,What is the commission $ for salesperson AM for account type Discount for 2024,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,13,all good,Data Set #18 report-Q13,What is the commission $ for salesperson AM for account type Independent for 2024,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,14,all good,Data Set #18 report-Q14,What is the commission $ for salesperson AM for account type Online for 2024,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,15,all good,Data Set #18 report-Q15,What is the commission $ for salesperson AM for account type Specialty for 2024,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,2,all good,Data Set #18 report-Q2,What is the commission $ for salesperson AM for account type Discount for 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,3,all good,Data Set #18 report-Q3,What is the commission $ for salesperson AM for account type Independent for 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,4,all good,Data Set #18 report-Q4,What is the commission $ for salesperson AM for account type Online for 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
APPROVED,Data Set #18 report,5,all good,Data Set #18 report-Q5,What is the commission $ for salesperson AM for account type Specialty for 2022,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #18 report.html,#N/A
