tracker_file_name_current,final_status,period,status_current,notes
Data Set #12 report - Frank Stimson.csv,APPROVED,3/22/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #12 report - Frank Stimson.csv,APPROVED,3/28/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #12 report - Frank Stimson.csv,APPROVED,3/29/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #12 report - Frank Stimson.csv,APPROVED,4/1/2024,Rejected,The questions do not meet the project criteria.
Data Set #12 report - Frank Stimson.csv,APPROVED,4/2/2024,Rejected,The questions do not meet the project criteria.
Data Set #12 report - Frank Stimson.csv,APPROVED,4/4/2024,Rejected,The questions do not meet the project criteria.
Data Set #12 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #12 report - Frank Stimson.csv,APPROVED,4/29/2024,Paid,Paid
Data Set #13 report,APPROVED,1/5/2024,DS submitted,
Data Set #13 report,APPROVED,1/23/2024,Paid,Paid
Data Set #13 report,APPROVED,3/15/2024,Approved,
Data Set #13 report,APPROVED,3/18/2024,Approved,
Data Set #13 report,APPROVED,3/20/2024,Approved,
Data Set #13 report,APPROVED,3/21/2024,Approved,
Data Set #13 report,APPROVED,3/22/2024,Approved,
Data Set #13 report,APPROVED,3/28/2024,Approved,
Data Set #13 report,APPROVED,3/29/2024,Approved,
Data Set #13 report,APPROVED,4/1/2024,Approved,
Data Set #13 report,APPROVED,4/2/2024,Approved,
Data Set #13 report,APPROVED,4/4/2024,Approved,
Data Set #13 report,APPROVED,4/25/2024,Approved,
Data Set #14 report,APPROVED,1/5/2024,DS submitted,
Data Set #14 report,APPROVED,1/23/2024,Paid,Paid
Data Set #14 report,APPROVED,3/15/2024,Approved,
Data Set #14 report,APPROVED,3/18/2024,Approved,
Data Set #14 report,APPROVED,3/20/2024,Approved,
Data Set #14 report,APPROVED,3/21/2024,Approved,
Data Set #14 report,APPROVED,3/22/2024,Approved,
Data Set #14 report,APPROVED,3/28/2024,Approved,
Data Set #14 report,APPROVED,3/29/2024,Approved,
Data Set #14 report,APPROVED,4/1/2024,Approved,
Data Set #14 report,APPROVED,4/2/2024,Approved,
Data Set #14 report,APPROVED,4/4/2024,Approved,
Data Set #14 report,APPROVED,4/25/2024,Approved,
Data Set #15 report.csv,APPROVED,1/5/2024,DS submitted,
Data Set #15 report.csv,APPROVED,1/23/2024,Paid,Paid
Data Set #15 report.csv,APPROVED,3/15/2024,Approved,
Data Set #15 report.csv,APPROVED,3/18/2024,Approved,
Data Set #15 report.csv,APPROVED,3/20/2024,Approved,
Data Set #15 report.csv,APPROVED,3/21/2024,Approved,
Data Set #15 report.csv,APPROVED,3/22/2024,Approved,
Data Set #15 report.csv,APPROVED,3/28/2024,Approved,
Data Set #15 report.csv,APPROVED,3/29/2024,Approved,
Data Set #15 report.csv,APPROVED,4/1/2024,Approved,
Data Set #15 report.csv,APPROVED,4/2/2024,Approved,
Data Set #15 report.csv,APPROVED,4/4/2024,Approved,
Data Set #15 report.csv,APPROVED,4/25/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,1/7/2024,DS submitted,
Data Set #16 report - Frank Stimson.csv,APPROVED,2/7/2024,Paid,Paid
Data Set #16 report - Frank Stimson.csv,APPROVED,3/15/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,3/18/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,3/20/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,3/21/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,3/22/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,3/28/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,3/29/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,4/1/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,4/2/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,4/4/2024,Approved,
Data Set #16 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,1/7/2024,DS submitted,
Data Set #17 report - Frank Stimson.csv,APPROVED,2/7/2024,Paid,Paid
Data Set #17 report - Frank Stimson.csv,APPROVED,3/15/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,3/18/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,3/20/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,3/21/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,3/22/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,3/28/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,3/29/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,4/1/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,4/2/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,4/4/2024,Approved,
Data Set #17 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #18 report,APPROVED,1/7/2024,DS submitted,
Data Set #18 report,APPROVED,2/7/2024,Paid,Paid
Data Set #18 report,APPROVED,3/15/2024,Approved,
Data Set #18 report,APPROVED,3/18/2024,Approved,
Data Set #18 report,APPROVED,3/20/2024,Approved,
Data Set #18 report,APPROVED,3/21/2024,Approved,
Data Set #18 report,APPROVED,3/22/2024,Approved,
Data Set #18 report,APPROVED,3/28/2024,Approved,
Data Set #18 report,APPROVED,3/29/2024,Approved,
Data Set #18 report,APPROVED,4/1/2024,Approved,
Data Set #18 report,APPROVED,4/2/2024,Approved,
Data Set #18 report,APPROVED,4/4/2024,Approved,
Data Set #18 report,APPROVED,4/25/2024,Approved,
Data Set #19 report,APPROVED,1/7/2024,DS submitted,
Data Set #19 report,APPROVED,2/7/2024,Paid,Paid
Data Set #19 report,APPROVED,3/15/2024,Approved,
Data Set #19 report,APPROVED,3/18/2024,Approved,
Data Set #19 report,APPROVED,3/20/2024,Approved,
Data Set #19 report,APPROVED,3/21/2024,Approved,
Data Set #19 report,APPROVED,3/22/2024,Approved,
Data Set #19 report,APPROVED,3/28/2024,Approved,
Data Set #19 report,APPROVED,3/29/2024,Approved,
Data Set #19 report,APPROVED,4/1/2024,Approved,
Data Set #19 report,APPROVED,4/2/2024,Approved,
Data Set #19 report,APPROVED,4/4/2024,Approved,
Data Set #19 report,APPROVED,4/25/2024,Approved,
Data Set #2 report - Frank Stimson.xlsx,APPROVED,1/3/2024,DS submitted,
Data Set #2 report - Frank Stimson.xlsx,APPROVED,3/15/2024,Rejected,The dataset does not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,3/18/2024,Rejected,The dataset does not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,3/20/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,3/21/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,3/22/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,3/28/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,3/29/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,4/1/2024,Rejected,The questions do not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,4/2/2024,Rejected,The questions do not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,4/4/2024,Rejected,The questions do not meet the project criteria.
Data Set #2 report - Frank Stimson.xlsx,APPROVED,4/25/2024,Approved,
Data Set #2 report - Frank Stimson.xlsx,APPROVED,4/29/2024,Paid,Paid
Data Set #20 report - Frank Stimson.csv,APPROVED,1/7/2024,DS submitted,
Data Set #20 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #20 report - Frank Stimson.csv,APPROVED,3/18/2024,Review,
Data Set #20 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #20 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #20 report - Frank Stimson.csv,APPROVED,3/22/2024,Rejected,The questions do not meet the project criteria.
Data Set #20 report - Frank Stimson.csv,APPROVED,3/28/2024,Rejected,The questions do not meet the project criteria.
Data Set #20 report - Frank Stimson.csv,APPROVED,3/29/2024,Rejected,The questions do not meet the project criteria.
Data Set #20 report - Frank Stimson.csv,APPROVED,4/1/2024,Rejected,The questions do not meet the project criteria.
Data Set #20 report - Frank Stimson.csv,APPROVED,4/2/2024,Rejected,The questions do not meet the project criteria.
Data Set #20 report - Frank Stimson.csv,APPROVED,4/4/2024,Rejected,The questions do not meet the project criteria.
Data Set #20 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #20 report - Frank Stimson.csv,APPROVED,4/29/2024,Paid,Paid
Data Set #21 report,APPROVED,1/7/2024,DS submitted,
Data Set #21 report,APPROVED,2/7/2024,Paid,Paid
Data Set #21 report,APPROVED,3/15/2024,Approved,
Data Set #21 report,APPROVED,3/18/2024,Approved,
Data Set #21 report,APPROVED,3/20/2024,Approved,
Data Set #21 report,APPROVED,3/21/2024,Approved,
Data Set #21 report,APPROVED,3/22/2024,Approved,
Data Set #21 report,APPROVED,3/28/2024,Approved,
Data Set #21 report,APPROVED,3/29/2024,Approved,
Data Set #21 report,APPROVED,4/1/2024,Approved,
Data Set #21 report,APPROVED,4/2/2024,Approved,
Data Set #21 report,APPROVED,4/4/2024,Approved,
Data Set #21 report,APPROVED,4/25/2024,Approved,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,1/31/2024,DS submitted,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,3/18/2024,Rejected,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,3/22/2024,Review,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,3/28/2024,Removed,removed off the report 3/28
Data Set #2-11 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
Data Set #2-11 report - Frank Stimson.csv,APPROVED,3/30/2024,Removed,5 days off report
Data Set #2-11 report - Frank Stimson.csv,APPROVED,3/31/2024,Removed,5 days off report
Data Set #2-11 report - Frank Stimson.csv,APPROVED,4/1/2024,Removed,5 days off report
Data Set #2-11 report - Frank Stimson.csv,APPROVED,4/1/2024,Review,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,4/2/2024,Removed,5 days off report
Data Set #2-11 report - Frank Stimson.csv,APPROVED,4/2/2024,Review,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,4/4/2024,Review,
Data Set #2-11 report - Frank Stimson.csv,APPROVED,4/25/2024,Paid,Paid
Data Set #2-11 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #2-12 report - Frank Stimson.csv,APPROVED,1/31/2024,DS submitted,
Data Set #2-12 report - Frank Stimson.csv,APPROVED,3/15/2024,Rejected,The dataset contains PII.
Data Set #2-12 report - Frank Stimson.csv,APPROVED,3/18/2024,Review,
Data Set #2-12 report - Frank Stimson.csv,APPROVED,3/20/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-12 report - Frank Stimson.csv,APPROVED,3/21/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-12 report - Frank Stimson.csv,APPROVED,3/22/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-12 report - Frank Stimson.csv,APPROVED,3/28/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-12 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
Data Set #2-12 report - Frank Stimson.csv,APPROVED,3/30/2024,Removed,5 days off report
Data Set #2-12 report - Frank Stimson.csv,APPROVED,3/31/2024,Removed,5 days off report
Data Set #2-12 report - Frank Stimson.csv,APPROVED,4/1/2024,Removed,5 days off report
Data Set #2-12 report - Frank Stimson.csv,APPROVED,4/1/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-12 report - Frank Stimson.csv,APPROVED,4/2/2024,Removed,5 days off report
Data Set #2-12 report - Frank Stimson.csv,APPROVED,4/2/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-12 report - Frank Stimson.csv,APPROVED,4/4/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-12 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #2-12 report - Frank Stimson.csv,APPROVED,4/29/2024,Paid,Paid
Data Set #2-13 report - Frank Stimson.csv,REJECTED,1/31/2024,DS submitted,
Data Set #2-13 report - Frank Stimson.csv,REJECTED,4/25/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,1/31/2024,DS submitted,
Data Set #2-14 report - Frank Stimson.csv,APPROVED,3/15/2024,Rejected,The dataset contains PII.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,3/18/2024,Review,The dataset contains PII.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,3/20/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,3/21/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,3/22/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,3/28/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
Data Set #2-14 report - Frank Stimson.csv,APPROVED,3/30/2024,Removed,5 days off report
Data Set #2-14 report - Frank Stimson.csv,APPROVED,3/31/2024,Removed,5 days off report
Data Set #2-14 report - Frank Stimson.csv,APPROVED,4/1/2024,Removed,5 days off report
Data Set #2-14 report - Frank Stimson.csv,APPROVED,4/1/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,4/2/2024,Removed,5 days off report
Data Set #2-14 report - Frank Stimson.csv,APPROVED,4/2/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,4/4/2024,Rejected,The dataset and questions do not meet the project criteria.
Data Set #2-14 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #2-14 report - Frank Stimson.csv,APPROVED,4/29/2024,Paid,Paid
Data Set #2-15 report - Frank Stimson.csv,APPROVED,1/31/2024,DS submitted,
Data Set #2-15 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #2-15 report - Frank Stimson.csv,APPROVED,3/18/2024,Review,
Data Set #2-15 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #2-15 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #2-15 report - Frank Stimson.csv,APPROVED,3/22/2024,Review,
Data Set #2-15 report - Frank Stimson.csv,APPROVED,3/28/2024,Removed,removed off the report 3/28
Data Set #2-15 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
Data Set #2-15 report - Frank Stimson.csv,APPROVED,3/30/2024,Removed,5 days off report
Data Set #2-15 report - Frank Stimson.csv,APPROVED,3/31/2024,Removed,5 days off report
Data Set #2-15 report - Frank Stimson.csv,APPROVED,4/1/2024,Removed,5 days off report
Data Set #2-15 report - Frank Stimson.csv,APPROVED,4/1/2024,Review,
Data Set #2-15 report - Frank Stimson.csv,APPROVED,4/2/2024,Removed,5 days off report
Data Set #2-15 report - Frank Stimson.csv,APPROVED,4/2/2024,Review,
Data Set #2-15 report - Frank Stimson.csv,APPROVED,4/4/2024,Review,
Data Set #2-15 report - Frank Stimson.csv,APPROVED,4/25/2024,Paid,Paid
Data Set #2-15 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,1/31/2024,DS submitted,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,3/18/2024,Review,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,3/22/2024,Review,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,3/28/2024,Removed,removed off the report 3/28
Data Set #2-16 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
Data Set #2-16 report - Frank Stimson.csv,APPROVED,3/30/2024,Removed,5 days off report
Data Set #2-16 report - Frank Stimson.csv,APPROVED,3/31/2024,Removed,5 days off report
Data Set #2-16 report - Frank Stimson.csv,APPROVED,4/1/2024,Removed,5 days off report
Data Set #2-16 report - Frank Stimson.csv,APPROVED,4/1/2024,Review,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,4/2/2024,Removed,5 days off report
Data Set #2-16 report - Frank Stimson.csv,APPROVED,4/2/2024,Review,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,4/4/2024,Review,
Data Set #2-16 report - Frank Stimson.csv,APPROVED,4/25/2024,Paid,Paid
Data Set #2-16 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,1/31/2024,DS submitted,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,3/18/2024,Review,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,3/22/2024,Review,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,3/28/2024,Removed,removed off the report 3/28
Data Set #2-17 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
Data Set #2-17 report - Frank Stimson.csv,APPROVED,3/30/2024,Removed,5 days off report
Data Set #2-17 report - Frank Stimson.csv,APPROVED,3/31/2024,Removed,5 days off report
Data Set #2-17 report - Frank Stimson.csv,APPROVED,4/1/2024,Removed,5 days off report
Data Set #2-17 report - Frank Stimson.csv,APPROVED,4/1/2024,Review,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,4/2/2024,Removed,5 days off report
Data Set #2-17 report - Frank Stimson.csv,APPROVED,4/2/2024,Review,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,4/4/2024,Review,
Data Set #2-17 report - Frank Stimson.csv,APPROVED,4/25/2024,Paid,Paid
Data Set #2-17 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,1/31/2024,DS submitted,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,3/18/2024,Review,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,3/22/2024,Review,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,3/28/2024,Removed,removed off the report 3/28
Data Set #2-18 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
Data Set #2-18 report - Frank Stimson.csv,APPROVED,3/30/2024,Removed,5 days off report
Data Set #2-18 report - Frank Stimson.csv,APPROVED,3/31/2024,Removed,5 days off report
Data Set #2-18 report - Frank Stimson.csv,APPROVED,4/1/2024,Removed,5 days off report
Data Set #2-18 report - Frank Stimson.csv,APPROVED,4/1/2024,Review,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,4/2/2024,Removed,5 days off report
Data Set #2-18 report - Frank Stimson.csv,APPROVED,4/2/2024,Review,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,4/4/2024,Review,
Data Set #2-18 report - Frank Stimson.csv,APPROVED,4/25/2024,Paid,Paid
Data Set #2-18 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,2/4/2024,DS submitted,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,3/18/2024,Rejected,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,3/22/2024,Review,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,3/28/2024,Removed,removed off the report 3/28
Data Set #2-19 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
Data Set #2-19 report - Frank Stimson.csv,APPROVED,3/30/2024,Removed,5 days off report
Data Set #2-19 report - Frank Stimson.csv,APPROVED,3/31/2024,Removed,5 days off report
Data Set #2-19 report - Frank Stimson.csv,APPROVED,4/1/2024,Removed,5 days off report
Data Set #2-19 report - Frank Stimson.csv,APPROVED,4/1/2024,Review,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,4/2/2024,Removed,5 days off report
Data Set #2-19 report - Frank Stimson.csv,APPROVED,4/2/2024,Review,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,4/4/2024,Review,
Data Set #2-19 report - Frank Stimson.csv,APPROVED,4/25/2024,Paid,Paid
Data Set #2-19 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #22 report - Frank Stimson.csv,APPROVED,1/7/2024,DS submitted,
Data Set #22 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #22 report - Frank Stimson.csv,APPROVED,3/18/2024,Review,
Data Set #22 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #22 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #22 report - Frank Stimson.csv,APPROVED,3/22/2024,Review,
Data Set #22 report - Frank Stimson.csv,APPROVED,3/28/2024,Review,
Data Set #22 report - Frank Stimson.csv,APPROVED,3/29/2024,Review,
Data Set #22 report - Frank Stimson.csv,APPROVED,4/1/2024,Rejected,The questions do not meet the project criteria.
Data Set #22 report - Frank Stimson.csv,APPROVED,4/2/2024,Rejected,The questions do not meet the project criteria.
Data Set #22 report - Frank Stimson.csv,APPROVED,4/4/2024,Rejected,The questions do not meet the project criteria.
Data Set #22 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #22 report - Frank Stimson.csv,APPROVED,4/29/2024,Paid,Paid
Data Set #2-20 report - Frank Stimson.csv,APPROVED,2/4/2024,DS submitted,
Data Set #2-20 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #2-20 report - Frank Stimson.csv,APPROVED,3/18/2024,Rejected,
Data Set #2-20 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #2-20 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #2-20 report - Frank Stimson.csv,APPROVED,3/22/2024,Review,
Data Set #2-20 report - Frank Stimson.csv,APPROVED,3/28/2024,Removed,removed off the report 3/28
Data Set #2-20 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
Data Set #2-20 report - Frank Stimson.csv,APPROVED,3/30/2024,Removed,5 days off report
Data Set #2-20 report - Frank Stimson.csv,APPROVED,3/31/2024,Removed,5 days off report
Data Set #2-20 report - Frank Stimson.csv,APPROVED,4/1/2024,Removed,5 days off report
Data Set #2-20 report - Frank Stimson.csv,APPROVED,4/1/2024,Review,
Data Set #2-20 report - Frank Stimson.csv,APPROVED,4/2/2024,Removed,5 days off report
Data Set #2-20 report - Frank Stimson.csv,APPROVED,4/2/2024,Review,
Data Set #2-20 report - Frank Stimson.csv,APPROVED,4/4/2024,Review,
Data Set #2-20 report - Frank Stimson.csv,APPROVED,4/25/2024,Paid,Paid
Data Set #2-20 report - Frank Stimson.csv,APPROVED,4/25/2024,Approved,
Data Set #2-21 report - Frank Stimson.csv,APPROVED,2/4/2024,DS submitted,
Data Set #2-21 report - Frank Stimson.csv,APPROVED,3/15/2024,Review,
Data Set #2-21 report - Frank Stimson.csv,APPROVED,3/18/2024,Rejected,
Data Set #2-21 report - Frank Stimson.csv,APPROVED,3/20/2024,Review,
Data Set #2-21 report - Frank Stimson.csv,APPROVED,3/21/2024,Review,
Data Set #2-21 report - Frank Stimson.csv,APPROVED,3/22/2024,Review,
Data Set #2-21 report - Frank Stimson.csv,APPROVED,3/28/2024,Removed,removed off the report 3/28
Data Set #2-21 report - Frank Stimson.csv,APPROVED,3/29/2024,Removed,5 days off report
