status_current,tracker_file_name_current,question_number,issues,id,question_current
APPROVED,Data Set #17 report - Frank Stimson.csv,1,all good,Data Set #17 report - Frank Stimson.csv-Q1,"What order status  ""open-waiting po"" $ is for salesperson AB"
APPROVED,Data Set #17 report - Frank Stimson.csv,10,all good,Data Set #17 report - Frank Stimson.csv-Q10,What is salesperson AB  commission % for customer type Discount
APPROVED,Data Set #17 report - Frank Stimson.csv,11,all good,Data Set #17 report - Frank Stimson.csv-Q11,What is salesperson AB commission % for customer type Independent
APPROVED,Data Set #17 report - Frank Stimson.csv,12,all good,Data Set #17 report - Frank Stimson.csv-Q12,What is salesperson AB commission % for customer type Specialty
APPROVED,Data Set #17 report - Frank Stimson.csv,13,all good,Data Set #17 report - Frank Stimson.csv-Q13,What is salesperson AB commission $ for customer type Specialty 3rd qtr. for 2023
APPROVED,Data Set #17 report - Frank Stimson.csv,14,all good,Data Set #17 report - Frank Stimson.csv-Q14,What is salesperson AB commission $ for customer type Independent for 3rd qtr. 2023
APPROVED,Data Set #17 report - Frank Stimson.csv,15,all good,Data Set #17 report - Frank Stimson.csv-Q15,What is salesperson AB commission $ for customer type Specialty for 3rd qtr. 2023
APPROVED,Data Set #17 report - Frank Stimson.csv,2,all good,Data Set #17 report - Frank Stimson.csv-Q2,"What order status  ""open-waiting po"" $ is for salesperson AB 2023"
APPROVED,Data Set #17 report - Frank Stimson.csv,3,all good,Data Set #17 report - Frank Stimson.csv-Q3,"What order status  ""open-waiting po"" $ is for salesperson AB 2024"
APPROVED,Data Set #17 report - Frank Stimson.csv,4,all good,Data Set #17 report - Frank Stimson.csv-Q4,"What order status  ""open"" $ is for salesperson AB"
APPROVED,Data Set #17 report - Frank Stimson.csv,5,all good,Data Set #17 report - Frank Stimson.csv-Q5,"What order status  ""open"" $ is for salesperson AB 2023"
APPROVED,Data Set #17 report - Frank Stimson.csv,6,all good,Data Set #17 report - Frank Stimson.csv-Q6,"What order status  ""open"" $ is for salesperson AB 2024"
APPROVED,Data Set #17 report - Frank Stimson.csv,7,all good,Data Set #17 report - Frank Stimson.csv-Q7,"What order status  ""shipped"" $ is for salesperson AB"
APPROVED,Data Set #17 report - Frank Stimson.csv,8,all good,Data Set #17 report - Frank Stimson.csv-Q8,"What order status  ""shipped"" $ is for salesperson AB 2023"
APPROVED,Data Set #17 report - Frank Stimson.csv,9,all good,Data Set #17 report - Frank Stimson.csv-Q9,"What order status  ""shipped"" $ is for salesperson AB 2024"
APPROVED,Data Set #18 report,1,all good,Data Set #18 report-Q1,What is the commission $ for salesperson AM for account type Dept for 2022
APPROVED,Data Set #18 report,10,all good,Data Set #18 report-Q10,What is the commission $ for salesperson AM for account type Specialty for 2023
APPROVED,Data Set #18 report,11,all good,Data Set #18 report-Q11,What is the commission $ for salesperson AM for account type Dept for 2024
APPROVED,Data Set #18 report,12,all good,Data Set #18 report-Q12,What is the commission $ for salesperson AM for account type Discount for 2024
APPROVED,Data Set #18 report,13,all good,Data Set #18 report-Q13,What is the commission $ for salesperson AM for account type Independent for 2024
APPROVED,Data Set #18 report,14,all good,Data Set #18 report-Q14,What is the commission $ for salesperson AM for account type Online for 2024
APPROVED,Data Set #18 report,15,all good,Data Set #18 report-Q15,What is the commission $ for salesperson AM for account type Specialty for 2024
APPROVED,Data Set #18 report,2,all good,Data Set #18 report-Q2,What is the commission $ for salesperson AM for account type Discount for 2022
APPROVED,Data Set #18 report,3,all good,Data Set #18 report-Q3,What is the commission $ for salesperson AM for account type Independent for 2022
APPROVED,Data Set #18 report,4,all good,Data Set #18 report-Q4,What is the commission $ for salesperson AM for account type Online for 2022
APPROVED,Data Set #18 report,5,all good,Data Set #18 report-Q5,What is the commission $ for salesperson AM for account type Specialty for 2022
APPROVED,Data Set #18 report,6,all good,Data Set #18 report-Q6,What is the commission $ for salesperson AM for account type Dept for 2023
APPROVED,Data Set #18 report,7,all good,Data Set #18 report-Q7,What is the commission $ for salesperson AM for account type Discount for 2023
APPROVED,Data Set #18 report,8,all good,Data Set #18 report-Q8,What is the commission $ for salesperson AM for account type Independent for 2023
APPROVED,Data Set #18 report,9,all good,Data Set #18 report-Q9,What is the commission $ for salesperson AM for account type Online for 2023
APPROVED,Data Set #19 report,1,all good,Data Set #19 report-Q1,What was the average # of days to ship an order for salesperson KR first 6 months of 2022
APPROVED,Data Set #19 report,10,all good,Data Set #19 report-Q10,What was the average in the number of days to ship an order from first 6 months 2022 vs 2023
APPROVED,Data Set #19 report,11,all good,Data Set #19 report-Q11,What was the average in the number of days to ship an order from last 6 months 2022 vs 2023
APPROVED,Data Set #19 report,12,all good,Data Set #19 report-Q12,What was the average in the number of days to ship an order from 2022 vs 2023
APPROVED,Data Set #19 report,13,all good,Data Set #19 report-Q13,Which account type for 2023 had the longest average # of days to ship and order
APPROVED,Data Set #19 report,14,all good,Data Set #19 report-Q14,Which account type for 2022 had the longest average # of days to ship and order
APPROVED,Data Set #19 report,15,all good,Data Set #19 report-Q15,How many customer does salesperson KR have
APPROVED,Data Set #19 report,2,all good,Data Set #19 report-Q2,What was the average # of days to ship an order for salesperson KR last 6 months of 2022
APPROVED,Data Set #19 report,3,all good,Data Set #19 report-Q3,What was the average # of days to ship an order for salesperson KR for 2022
APPROVED,Data Set #19 report,4,all good,Data Set #19 report-Q4,What was the average # of days to ship an order for salesperson KR first 6 months of 2023
APPROVED,Data Set #19 report,5,all good,Data Set #19 report-Q5,What was the average # of days to ship an order for salesperson KR last 6 months of 2023
APPROVED,Data Set #19 report,6,all good,Data Set #19 report-Q6,What was the average # of days to ship an order for salesperson KR for 2023
APPROVED,Data Set #19 report,7,all good,Data Set #19 report-Q7,What was the % change in the number of days to ship an order from first 6 months 2022 vs 2023
APPROVED,Data Set #19 report,8,all good,Data Set #19 report-Q8,What was the % change in the number of days to ship an order from last 6 months 2022 vs 2023
APPROVED,Data Set #19 report,9,all good,Data Set #19 report-Q9,What was the % change in the number of days to ship an order from 2022 vs 2023
APPROVED,Data Set #2 report - Frank Stimson.xlsx,1,all good,Data Set #2 report - Frank Stimson.xlsx-Q1,what was last week total units sales 
APPROVED,Data Set #2 report - Frank Stimson.xlsx,10,all good,Data Set #2 report - Frank Stimson.xlsx-Q10,What is the retail price
APPROVED,Data Set #2 report - Frank Stimson.xlsx,11,all good,Data Set #2 report - Frank Stimson.xlsx-Q11,what color sell the best
APPROVED,Data Set #2 report - Frank Stimson.xlsx,12,all good,Data Set #2 report - Frank Stimson.xlsx-Q12,what size sells the best
APPROVED,Data Set #2 report - Frank Stimson.xlsx,13,all good,Data Set #2 report - Frank Stimson.xlsx-Q13,what is the APS for the week
APPROVED,Data Set #2 report - Frank Stimson.xlsx,14,all good,Data Set #2 report - Frank Stimson.xlsx-Q14,what is the APS for the prior week
APPROVED,Data Set #2 report - Frank Stimson.xlsx,15,all good,Data Set #2 report - Frank Stimson.xlsx-Q15,what is the APS for the STD
APPROVED,Data Set #2 report - Frank Stimson.xlsx,2,all good,Data Set #2 report - Frank Stimson.xlsx-Q2,what was the prior week units sales
APPROVED,Data Set #2 report - Frank Stimson.xlsx,3,all good,Data Set #2 report - Frank Stimson.xlsx-Q3,what was last week total $ sales 
APPROVED,Data Set #2 report - Frank Stimson.xlsx,4,all good,Data Set #2 report - Frank Stimson.xlsx-Q4,what was the prior week $ sales
APPROVED,Data Set #2 report - Frank Stimson.xlsx,5,all good,Data Set #2 report - Frank Stimson.xlsx-Q5,what was last week ST %
APPROVED,Data Set #2 report - Frank Stimson.xlsx,6,all good,Data Set #2 report - Frank Stimson.xlsx-Q6,what is the STD ST %
APPROVED,Data Set #2 report - Frank Stimson.xlsx,7,all good,Data Set #2 report - Frank Stimson.xlsx-Q7,what is the YTD ST %
APPROVED,Data Set #2 report - Frank Stimson.xlsx,8,all good,Data Set #2 report - Frank Stimson.xlsx-Q8,What was last week AUR
APPROVED,Data Set #2 report - Frank Stimson.xlsx,9,all good,Data Set #2 report - Frank Stimson.xlsx-Q9,What was the prior week AUR
APPROVED,Data Set #20 report - Frank Stimson.csv,1,all good,Data Set #20 report - Frank Stimson.csv-Q1,What was salesperson RS top 5  customer # for 2022
APPROVED,Data Set #20 report - Frank Stimson.csv,10,all good,Data Set #20 report - Frank Stimson.csv-Q10,Which customer # for salesperson RS had the highest % change from 2023-2024 total allocated/ship/open $
APPROVED,Data Set #20 report - Frank Stimson.csv,11,all good,Data Set #20 report - Frank Stimson.csv-Q11,Which prod_line for salesperson RS in 2023 had the highest total allocated/ship/open $
APPROVED,Data Set #20 report - Frank Stimson.csv,12,all good,Data Set #20 report - Frank Stimson.csv-Q12,Which prod_line for salesperson RS in 2022 had the highest total allocated/ship/open $
APPROVED,Data Set #20 report - Frank Stimson.csv,13,all good,Data Set #20 report - Frank Stimson.csv-Q13,What was salesperson RS bottom 5  customer # for 2022
APPROVED,Data Set #20 report - Frank Stimson.csv,14,all good,Data Set #20 report - Frank Stimson.csv-Q14,What was salesperson RS bottom 5  customer # for 2023
APPROVED,Data Set #20 report - Frank Stimson.csv,15,all good,Data Set #20 report - Frank Stimson.csv-Q15,What was salesperson RS bottom 5  customer # for 2024
APPROVED,Data Set #20 report - Frank Stimson.csv,2,all good,Data Set #20 report - Frank Stimson.csv-Q2,What was salesperson RS top 5  customer # for 2023
APPROVED,Data Set #20 report - Frank Stimson.csv,3,all good,Data Set #20 report - Frank Stimson.csv-Q3,What was salesperson RS top 5  customer # for 2024
APPROVED,Data Set #20 report - Frank Stimson.csv,4,all good,Data Set #20 report - Frank Stimson.csv-Q4,Which customer # was salesperson RS highest commission for 2022
APPROVED,Data Set #20 report - Frank Stimson.csv,5,all good,Data Set #20 report - Frank Stimson.csv-Q5,Which customer # was salesperson RS highest commission for 2023
APPROVED,Data Set #20 report - Frank Stimson.csv,6,all good,Data Set #20 report - Frank Stimson.csv-Q6,Which customer # was salesperson RS highest commission for 2024
APPROVED,Data Set #20 report - Frank Stimson.csv,7,all good,Data Set #20 report - Frank Stimson.csv-Q7,Which year was salesperson RS highest commission
APPROVED,Data Set #20 report - Frank Stimson.csv,8,all good,Data Set #20 report - Frank Stimson.csv-Q8,Which year was salesperson RS lowest commission
APPROVED,Data Set #20 report - Frank Stimson.csv,9,all good,Data Set #20 report - Frank Stimson.csv-Q9,Which customer # for salesperson RS had the highest % change from 2022-2023 total allocated/ship/open $
APPROVED,Data Set #21 report,1,all good,Data Set #21 report-Q1,What did salesperson #SG sell in 2022
APPROVED,Data Set #21 report,10,all good,Data Set #21 report-Q10,What did salesperson #SG sell January - June 2023
APPROVED,Data Set #21 report,11,all good,Data Set #21 report-Q11,What did salesperson #SG sell January - June 2024
APPROVED,Data Set #21 report,12,all good,Data Set #21 report-Q12,What did salesperson #SG sell July - December 2022
APPROVED,Data Set #21 report,13,all good,Data Set #21 report-Q13,What did salesperson #SG sell July - December 2023
APPROVED,Data Set #21 report,14,all good,Data Set #21 report-Q14,What did salesperson #SG sell July - December 2024
APPROVED,Data Set #21 report,15,all good,Data Set #21 report-Q15,What was the % change from 2022 to 2024
APPROVED,Data Set #21 report,2,all good,Data Set #21 report-Q2,What did salesperson #SG sell in 2023
APPROVED,Data Set #21 report,3,all good,Data Set #21 report-Q3,What did salesperson #SG sell in 2024
APPROVED,Data Set #21 report,4,all good,Data Set #21 report-Q4,What was the % change from 2022 to 2023
APPROVED,Data Set #21 report,5,all good,Data Set #21 report-Q5,What did salesperson #SG sell in first qtr. 2022
APPROVED,Data Set #21 report,6,all good,Data Set #21 report-Q6,What did salesperson #SG sell in first qtr. 2023
APPROVED,Data Set #21 report,7,all good,Data Set #21 report-Q7,What did salesperson #SG sell in first qtr. 2024
APPROVED,Data Set #21 report,8,all good,Data Set #21 report-Q8,What was the % change from 2023 to 2024
APPROVED,Data Set #21 report,9,all good,Data Set #21 report-Q9,What did salesperson #SG sell January - June 2022
APPROVED,Data Set #2-11 report - Frank Stimson.csv,1,all good,Data Set #2-11 report - Frank Stimson.csv-Q1,"Did any employee head of household earn more than $95,000 in 2016?"
APPROVED,Data Set #2-11 report - Frank Stimson.csv,2,all good,Data Set #2-11 report - Frank Stimson.csv-Q2,Did any vendor ship an order that arrived at the warehouse before the original received date in 2022?
APPROVED,Data Set #2-11 report - Frank Stimson.csv,3,all good,Data Set #2-11 report - Frank Stimson.csv-Q3,On the containers that took more than 30 days from the original delivery date units in 2021
APPROVED,Data Set #2-11 report - Frank Stimson.csv,4,all good,Data Set #2-11 report - Frank Stimson.csv-Q4,Was any employee exempt from federal taxes in 2016?
APPROVED,Data Set #2-11 report - Frank Stimson.csv,5,all good,Data Set #2-11 report - Frank Stimson.csv-Q5,"Was there a different Federal income tax rate for 2016 for married filing jointly with income above $150,000?"
APPROVED,Data Set #2-11 report - Frank Stimson.csv,6,all good,Data Set #2-11 report - Frank Stimson.csv-Q6,"What is the Federal income tax rate for 2016 from the federal W-4 form for a head of household with income over $60,000?"
APPROVED,Data Set #2-11 report - Frank Stimson.csv,7,all good,Data Set #2-11 report - Frank Stimson.csv-Q7,"What is the Federal income tax rate for 2016 from the federal W-4 form for married filing jointly with income over $80,000?"
APPROVED,Data Set #2-11 report - Frank Stimson.csv,8,all good,Data Set #2-11 report - Frank Stimson.csv-Q8,"What is the Federal income tax rate for 2016 from the federal W-4 form for married filing separately with income between $80,000 - $149,000?"
APPROVED,Data Set #2-11 report - Frank Stimson.csv,9,all good,Data Set #2-11 report - Frank Stimson.csv-Q9,"What is the Federal income tax rate for 2016 from the federal W-4 form for married filing separately with income under $80,000?"
APPROVED,Data Set #2-11 report - Frank Stimson.csv,10,all good,Data Set #2-11 report - Frank Stimson.csv-Q10,"What is the Federal income tax rate for 2016 from the federal W-4 form for singles with income over $150,000?"
APPROVED,Data Set #2-11 report - Frank Stimson.csv,11,all good,Data Set #2-11 report - Frank Stimson.csv-Q11,What was the average number of days from the actual to the original delivery date for 2021?
APPROVED,Data Set #2-11 report - Frank Stimson.csv,12,all good,Data Set #2-11 report - Frank Stimson.csv-Q12,Which employee will have the highest federal income tax rate for 2016?
APPROVED,Data Set #2-11 report - Frank Stimson.csv,13,all good,Data Set #2-11 report - Frank Stimson.csv-Q13,Which style had the highest average number of days from the actual to the original delivery date for 2021?
